City,State,Date_started,Date_ended,Size,Lat,Long,Local_coverage_link,Notes
San Luis Obispo,CA,,,,35.265573,-120.62122,https://www.sanluisobispo.com/news/local/article243190791.html,
San Mateo,CA,,,,37.573485,-122.32253,https://www.smdailyjournal.com/news/local/a-call-for-justice-in-san-mateo/article_48ca4de8-a624-11ea-b1a6-5f11580ea2ed.html,
Santa Ana,CA,,,minor,33.74822,-117.858473,https://www.ocregister.com/2020/05/31/hundreds-protest-george-floyds-death-ahead-of-evening-curfew-in-santa-ana/,
Santa Barbara,CA,,,,34.421897,-119.707135,https://www.independent.com/2020/06/01/thousands-at-santa-barbara-courthouse-protest-the-murder-of-george-floyd/,
Santa Cruz,CA,,,minor,37.052748,-122.111126,https://www.santacruzsentinel.com/2020/05/31/photos-thousands-march-in-santa-cruz-as-demonstrations-continue/,
Santa Maria,CA,,,minor,34.875832,-120.340795,https://santamariatimes.com/news/local/update-peaceful-afternoon-protest-turns-unruly-sunday-night-in-santa-maria/article_e9e14adb-d296-54da-81d3-f13167407b68.html,
Seaside,CA,,,,36.61107,-121.85162,https://www.thecalifornian.com/videos/news/2020/06/03/watch-black-lives-matter-protest-seaside-tuesday/3130130001/,
South Lake Tahoe,CA,,,,38.927507,-120.039632,http://southtahoenow.com/story/06/01/2020/peaceful-candlelight-vigil-held-south-lake-tahoe,
Stockton,CA,,,,37.672196,-121.298794,https://www.recordnet.com/news/20200603/latest-protest-brings-lsquojoyrsquo-to-some-that-stockton-is-waking-up-to-injustice,
Thousand Oaks,CA,,,,34.032383,-119.1343,https://www.vcstar.com/picture-gallery/news/local/communities/conejo-valley/2020/05/30/scenes-ventura-county-protests-over-george-floyd-death/5293011002/,
Truckee,CA,,,,39.3781,-120.186383,https://www.kolotv.com/content/news/Town-of-Truckee-hosts-peaceful-vigil-to-honor-non-white-victims-of-police-killings-570977271.html,
Vallejo,CA,,,,38.18735,-122.224074,https://www.sfchronicle.com/bayarea/article/Why-Vallejo-is-now-the-center-of-unrest-in-Bay-15315716.php,
Ventura,CA,,,,34.330829,-119.358352,https://www.vcstar.com/story/news/local/2020/05/30/hundreds-march-through-oxnard-protest-george-floyd-death/5292622002/,small
Visalia,CA,,,,36.303793,-119.375646,https://www.visaliatimesdelta.com/story/news/2020/05/30/justice-george-floyd-protesters-take-streets-visalia/5291499002/,
Walnut Creek,CA,,,,37.873343,-122.070625,https://www.kron4.com/news/bay-area/as-protests-remain-mostly-peaceful-walnut-creek-considers-extending-curfew/,
Whittier,CA,,,,34.004311,-118.0441,https://www.whittierdailynews.com/2020/06/02/tuesday-protest-in-whittier-begins-with-call-for-peace/,
