id,cleanedRecordingTitle,originalRecordingTitle,contributors,cleanedEventTitle,originalEventTitle,date
20100917_bg_015mv_pl_brrr_ms,Lost Indian,"Handycam 20100917231727 Martha and Emily Spencer with The Whitetop Mountain Band on the VA Folklife Stage @ BRRR. Song: Lost Indian, Traditional - Public Domain, Martha Spencer and then Debbie Bramer featured on flat foot dancing.",Martha Spencer | Emily Spencer | The Whitetop Mountain Band,Martha Spencer and Emily Spencer (Martha’s mother) and Debbie Bramer with The Whitetop Mountain Band at BRRR,9-17-10 (6) Martha Spencer and Emily Spencer (Martha’s mother) and Debbie Bramer with The Whitetop Mountain Band @ BRRR 9-17-10 (6),2010-09-17
20100918_am_010mv_pl_brrr_ag,Darling Corey,"Handycam 20100918183941 Red Molly perform on the Main Stage @ BRRR. Song: Darling Corey, Traditional, Public Domain",Red Molly,Abbie Gardner live performance at The Main Stage with Red Molly at BRRR,9-18-10 (3) Abbie Gardner live performance at The Main Stage with Red Molly @ BRRR,2010-09-18
20100919_bg_002mv_pl_brrr_kf,Temperence Reel,"Handycam 20100919164830 Kim France with Lost Ridge Band at BRRR. Song: Temperence Reel, Traditional, Public Domain",Kim France | The Lost Ridge Band,Kim France with The Lost Ridge Band at BRRR,9-19-10 (3) KIM FRANCE with THE LOST RIDGE BAND @ BRRR,2010-09-19
20100919_bg_004mv_pl_brrr_kf,I'll Fly Away,"Handycam 20100919165839 Kim France with Lost Ridge Band at BRRR. Song: I'll Fly Away, Traditional, Public Domain",Kim France | The Lost Ridge Band,Kim France with The Lost Ridge Band at BRRR,9-19-10 (3) KIM FRANCE with THE LOST RIDGE BAND @ BRRR,2010-09-19
20100919_bg_007mv_pl_brrr_kf,Little Maggie,"Handycam 20100919171130 Kim France with Lost Ridge Band at BRRR. Song: Little Maggie, Traditional, Public Domain",Kim France | The Lost Ridge Band,Kim France with The Lost Ridge Band at BRRR,9-19-10 (3) KIM FRANCE with THE LOST RIDGE BAND @ BRRR,2010-09-19
20100919_bg_008mv_pl_brrr_kf,Bill Cheatham,"Handycam 20100919171553 Kim France with Lost Ridge Band at BRRR. Song: Bill Cheatham Traditional, Public Domain",Kim France | The Lost Ridge Band,Kim France with The Lost Ridge Band at BRRR,9-19-10 (3) KIM FRANCE with THE LOST RIDGE BAND @ BRRR,2010-09-19
20100919_bg_009mv_pl_brrr_kf,Salt Creek,"Handycam 20100919171944 Kim France with Lost Ridge Band at BRRR. Song: Salt Creek, Traditional, Public Domain",Kim France | The Lost Ridge Band,Kim France with The Lost Ridge Band at BRRR,9-19-10 (3) KIM FRANCE with THE LOST RIDGE BAND @ BRRR,2010-09-19
20100919_bg_011mv_pl_brrr_kf,John Henry,"Handycam 20100919173141 Kim France with Lost Ridge Band at BRRR. Song: John Henry, Traditional, Public Domain",Kim France | The Lost Ridge Band,Kim France with The Lost Ridge Band at BRRR,9-19-10 (3) KIM FRANCE with THE LOST RIDGE BAND @ BRRR,2010-09-19
20100925_bg_001sr_pl_ge_nw,I'm Willing To Try,Tascam DR000671 Red June live CD Release Party performance at The Grey Eagle. Song: I'm Willing To Try. Traditional Public Domain,Red June,"Natalya Weinstein with Red June for CD Release Party at The Grey Eagle, Asheville, NC","9-25-10 (2) NATALYA WEINSTEIN with RED JUNE for CD RELEASE PARTY @ THE GREY EAGLE, ASHEVILLE, NC",2010-09-25
20100925_bg_003sr_pl_ge_nw,Half Past Four,"Tascam DR000673 Red June live CD Release Party performance at The Grey Eagle. Song: Half Past Four, Traditional Public Domain",Red June,"Natalya Weinstein with Red June for CD Release Party at The Grey Eagle, Asheville, NC","9-25-10 (2) NATALYA WEINSTEIN with RED JUNE for CD RELEASE PARTY @ THE GREY EAGLE, ASHEVILLE, NC",2010-09-25
